filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
DFD (12).png,10005,"{}",7,0,"{""name"":""rect"",""x"":511,""y"":110,""width"":125,""height"":50}","{""type"":""2"",""text"":""Клиент""}"
DFD (12).png,10005,"{}",7,1,"{""name"":""rect"",""x"":514,""y"":195,""width"":123,""height"":55}","{""type"":""2"",""text"":""Официант""}"
DFD (12).png,10005,"{}",7,2,"{""name"":""rect"",""x"":514,""y"":272,""width"":128,""height"":58}","{""type"":""2"",""text"":""Кассир""}"
DFD (12).png,10005,"{}",7,3,"{""name"":""polyline"",""all_points_x"":[342,427,426,512],""all_points_y"":[253,252,306,305]}","{""type"":""3"",""text"":""""}"
DFD (12).png,10005,"{}",7,4,"{""name"":""rect"",""x"":78,""y"":158,""width"":261,""height"":141}","{""type"":""1"",""text"":""Обработка заказов клиента""}"
DFD (12).png,10005,"{}",7,5,"{""name"":""polyline"",""all_points_x"":[258,258,506],""all_points_y"":[158,126,126]}","{""type"":""3"",""text"":""""}"
DFD (12).png,10005,"{}",7,6,"{""name"":""polyline"",""all_points_x"":[337,511],""all_points_y"":[209,209]}","{""type"":""3"",""text"":""""}"
Архитектура (8).png,20701,"{}",0,0,"{}","{}"
Архитектура (6).png,40225,"{}",7,0,"{""name"":""rect"",""x"":85,""y"":106,""width"":91,""height"":105}","{""type"":""17"",""text"":""Сервер БД""}"
Архитектура (6).png,40225,"{}",7,1,"{""name"":""rect"",""x"":272,""y"":109,""width"":146,""height"":108}","{""type"":""17"",""text"":""Сервер приложения""}"
Архитектура (6).png,40225,"{}",7,2,"{""name"":""rect"",""x"":473,""y"":112,""width"":162,""height"":115}","{""type"":""17"",""text"":""Рабочее место клиента (Web-браузер)""}"
Архитектура (6).png,40225,"{}",7,3,"{""name"":""rect"",""x"":190,""y"":120,""width"":110,""height"":27}","{""type"":""0"",""text"":""Защищенные каналы связи""}"
Архитектура (6).png,40225,"{}",7,4,"{""name"":""rect"",""x"":413,""y"":123,""width"":38,""height"":18}","{""type"":""0"",""text"":""http(s)""}"
Архитектура (6).png,40225,"{}",7,5,"{""name"":""polyline"",""all_points_x"":[201,271],""all_points_y"":[152,152]}","{""type"":""16"",""text"":""""}"
Архитектура (6).png,40225,"{}",7,6,"{""name"":""polyline"",""all_points_x"":[460,402],""all_points_y"":[152,152]}","{""type"":""16"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,0,"{""name"":""rect"",""x"":392,""y"":126,""width"":234,""height"":54}","{""type"":""17"",""text"":""Activity/Fragment""}"
Архитектура (5).png,106558,"{}",16,1,"{""name"":""rect"",""x"":340,""y"":243,""width"":343,""height"":109}","{""type"":""18"",""text"":""ViewModel""}"
Архитектура (5).png,106558,"{}",16,2,"{""name"":""rect"",""x"":505,""y"":264,""width"":162,""height"":67}","{""type"":""17"",""text"":""LiveData 3""}"
Архитектура (5).png,106558,"{}",16,3,"{""name"":""rect"",""x"":415,""y"":415,""width"":187,""height"":62}","{""type"":""17"",""text"":""Repository""}"
Архитектура (5).png,106558,"{}",16,4,"{""name"":""rect"",""x"":260,""y"":602,""width"":147,""height"":50}","{""type"":""17"",""text"":""Room""}"
Архитектура (5).png,106558,"{}",16,5,"{""name"":""rect"",""x"":97,""y"":536,""width"":322,""height"":132}","{""type"":""18"",""text"":""Model""}"
Архитектура (5).png,106558,"{}",16,6,"{""name"":""rect"",""x"":763,""y"":604,""width"":148,""height"":48}","{""type"":""17"",""text"":""Retrofit""}"
Архитектура (5).png,106558,"{}",16,7,"{""name"":""rect"",""x"":600,""y"":535,""width"":325,""height"":134}","{""type"":""18"",""text"":""Remote Data Source""}"
Архитектура (5).png,106558,"{}",16,8,"{""name"":""rect"",""x"":200,""y"":724,""width"":109,""height"":92}","{""type"":""17"",""text"":""SQLite""}"
Архитектура (5).png,106558,"{}",16,9,"{""name"":""rect"",""x"":656,""y"":723,""width"":222,""height"":91}","{""type"":""17"",""text"":""WebService""}"
Архитектура (5).png,106558,"{}",16,10,"{""name"":""polyline"",""all_points_x"":[509,511],""all_points_y"":[184,238]}","{""type"":""15"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,11,"{""name"":""polyline"",""all_points_x"":[513,513],""all_points_y"":[357,414]}","{""type"":""15"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,12,"{""name"":""polyline"",""all_points_x"":[610,759,760],""all_points_y"":[447,448,535]}","{""type"":""15"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,13,"{""name"":""polyline"",""all_points_x"":[760,760],""all_points_y"":[676,722]}","{""type"":""15"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,14,"{""name"":""polyline"",""all_points_x"":[406,253,254],""all_points_y"":[446,445,538]}","{""type"":""15"",""text"":""""}"
Архитектура (5).png,106558,"{}",16,15,"{""name"":""polyline"",""all_points_x"":[254,255],""all_points_y"":[673,721]}","{""type"":""15"",""text"":""""}"
Архитектура (1).jpg,68161,"{}",8,0,"{""name"":""rect"",""x"":56,""y"":187,""width"":97,""height"":134}","{""type"":""17"",""text"":""Users""}"
Архитектура (1).jpg,68161,"{}",8,1,"{""name"":""rect"",""x"":284,""y"":137,""width"":197,""height"":270}","{""type"":""17"",""text"":""Frontend""}"
Архитектура (1).jpg,68161,"{}",8,2,"{""name"":""rect"",""x"":550,""y"":134,""width"":315,""height"":391}","{""type"":""17"",""text"":""Backend""}"
Архитектура (1).jpg,68161,"{}",8,3,"{""name"":""polyline"",""all_points_x"":[495,609],""all_points_y"":[225,226]}","{""type"":""15"",""text"":""""}"
Архитектура (1).jpg,68161,"{}",8,4,"{""name"":""polyline"",""all_points_x"":[493,607],""all_points_y"":[245,244]}","{""type"":""15"",""text"":""""}"
Архитектура (1).jpg,68161,"{}",8,5,"{""name"":""polyline"",""all_points_x"":[271,157],""all_points_y"":[226,226]}","{""type"":""15"",""text"":""""}"
Архитектура (1).jpg,68161,"{}",8,6,"{""name"":""polyline"",""all_points_x"":[267,153],""all_points_y"":[246,246]}","{""type"":""15"",""text"":""""}"
Архитектура (1).jpg,68161,"{}",8,7,"{""name"":""rect"",""x"":251,""y"":95,""width"":645,""height"":524}","{""type"":""18"",""text"":""Web Application Architecture""}"
Архитектура (3).png,29693,"{}",13,0,"{""name"":""rect"",""x"":214,""y"":-1,""width"":65,""height"":78}","{""type"":""17"",""text"":""Remote API""}"
Архитектура (3).png,29693,"{}",13,1,"{""name"":""rect"",""x"":0,""y"":244,""width"":76,""height"":92}","{""type"":""17"",""text"":""Native Mobile Apps""}"
Архитектура (3).png,29693,"{}",13,2,"{""name"":""rect"",""x"":160,""y"":195,""width"":59,""height"":92}","{""type"":""17"",""text"":""Cache population""}"
Архитектура (3).png,29693,"{}",13,3,"{""name"":""rect"",""x"":258,""y"":196,""width"":74,""height"":78}","{""type"":""17"",""text"":""Data Access""}"
Архитектура (3).png,29693,"{}",13,4,"{""name"":""rect"",""x"":215,""y"":292,""width"":58,""height"":79}","{""type"":""17"",""text"":""Mobile API""}"
Архитектура (3).png,29693,"{}",13,5,"{""name"":""rect"",""x"":461,""y"":187,""width"":70,""height"":95}","{""type"":""17"",""text"":""Amazon S3""}"
Архитектура (3).png,29693,"{}",13,6,"{""name"":""rect"",""x"":460,""y"":297,""width"":72,""height"":105}","{""type"":""17"",""text"":""Amazon DynamoDB""}"
